id,review.status,review.reviewer,review.log,meta.rootId,hasParent,term.full.de,term.full.en,term.short.de,term.short.en,definition.de,definition.en,isAcceleratorResearchSpecific
/accelerating-process/plasma-based-acceleration/plasma-based_beam-driven_acceleration,01: in preparation,,,/accelerating-process/,/accelerating-process/plasma-based-acceleration/,plasmabasierte teilchenstrahlgetriebene Beschleunigung,plasma-based beam-driven acceleration,,,,,true
/accelerating-process/plasma-based-acceleration/plasma-based_laser-driven_acceleration,01: in preparation,,,/accelerating-process/,/accelerating-process/plasma-based-acceleration/,plasmabasierte lasergetriebene Beschleunigung,plasma-based laser-driven acceleration,,,,,true
/accelerator-application/,01: in preparation,,,/,/,Einsatzbereich von Beschleunigern,accelerator applications,,,,,true
/accelerator-application/industrial-application/,01: in preparation,,,/accelerator-application/,/accelerator-application/,Industrie,industrial applications,,,,,true
/accelerator-application/industrial-application/manufacturing,01: in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Produktion und Materialbearbeitung,manufacturing and materials processing,,,"Die Ionenimplantation ist in der Halbleiterindustrie für die Herstellung von digitaler Elektronik von entscheidender Bedeutung. Die Ionenimplantation wird auch zur Härtung von Schneidwerkzeugen und künstlichen menschlichen Gelenken sowie zur Veränderung der Oberflächen von Keramiken und Gläsern eingesetzt. Von Beschleunigern erzeugte Elektronenstrahlen werden für die Vernetzung und Polymerisation von Materialien, die Aushärtung von Tinten und Klebstoffen und den 3D-Druck von Metallen eingesetzt.","Ion Implantation is critical in the semiconductor industry for the fabrication of digital electronics. Ion implantation is also used to harden cutting tools and artificial human joints, and to modify the surfaces of ceramics and glasses. Accelerator-generated electron beams are used for cross-linking and polymerisation of materials, curing of inks and adhesives, and 3D printing of metals.",true
/accelerator-application/industrial-application/quality-control,01: in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Qualitätssicherung,quality control,,,,,true
/accelerator-application/industrial-application/sterilization,01: in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Sterilisation,sterilization,,,"Beschleunigererzeugte Elektronen- und Röntgenstrahlen werden zur Sterilisierung medizinischer Geräte, zur Konservierung und Desinfektion von Lebensmitteln sowie zur Behandlung und Reinigung von Abwässern eingesetzt.","Accelerator-generated electron beams and X-rays are used to sterilise medical equipment, preserve and disinfect food, and treat and purify waste water.",true
/accelerator-application/industrial-application/transmutation,01: in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Transmutation,transmutation,,,,,true
/accelerator-application/ion-beam-analysis,01: in preparation,,,/accelerator-application/,/accelerator-application/industrial-application/,Ionenstrahlanalyse,ion beam analysis,,,,,true
/accelerator-application/medical-application/,01: in preparation,,,/accelerator-application/,/accelerator-application/,Gesundheit ,health application,,,,,true
/accelerator-application/medical-application/proton-therapy,01: in preparation,,,/accelerator-application/,/accelerator-application/medical-application/,Protonentherapie,proton therapy,,,Eine medizinische Anwendung von Beschleunigertechnologie,,true
/accelerator-application/medical-application/radiosotope-production,01: in preparation,,,/accelerator-application/,/accelerator-application/medical-application/,Radioisotopen-Produktion,radiosotope production,,,,,true
/accelerator-application/metrology,01: in preparation,,,/accelerator-application/,/accelerator-application/,Metrologie,metrology,,,Grundlagen der Metrologie/Radiometrie Metrologie für die Industrie/EUV-Lithographie Forschung und Entwicklung für optische Technologien/Weltrauminstrumente Materialmetrologie/Nanometrologie,,true
/accelerator-application/science-application/,01: in preparation,,,/accelerator-application/,/accelerator-application/,Forschung,science,,,,,true
/accelerator-application/science-application/accelerator-research,01: in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Beschleunigerforschung,accelerator science,,,,,true
/accelerator-application/science-application/hadron-physics,01: in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Hadronen- und Kernphysik,hadron and nuclear physics,,,,,true
/accelerator-application/science-application/high-energy-physics,01: in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Teilchenphysik,high energy physics,,,,,true
/accelerator-application/science-application/matter-research/neutron-science,01: in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Materieforschung mit Neutronen,matter research with neutrons,,,Nutzung von Neutronen zur Materieforschung,,true
/accelerator-application/science-application/matter-research/photon-science,01: in preparation,,,/accelerator-application/,/accelerator-application/science-application/,Materieforschung mit Photonen,matter research with photons,,,,,true
/accelerator-application/security,01: in preparation,,,/accelerator-application/,/accelerator-application/,Sicherheit,security applications,,,,,true
/accelerator-research-subfield/,01: in preparation,,,/,/,Beschleunigerforschung,accelerator research subdomain,,,Als transdisziplinäres Gebiet mit natur- und ingenieurwissenschaftlichen Bezügen läßt sich die Beschleunigerforschung selbst in (sich teilweise überschneidende) Teilbereiche gliedern.,"As a transdisciplinary field with scientific and engineering aspects, accelerator research itself can be organised into (partially overlapping) subfields.",true
/accelerator-research-subfield/beam-dynamics,01: in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Strahldynamik,beam dynamics,,,"Die Strahldynamik befasst sich mit dem Verständnis und der Kontrolle des Verhaltens von Teilchenstrahlen in Beschleunigern. Dazu gehören die Untersuchung von Teilchenbewegungen und -flugbahnen, die Entwicklung von Techniken zur Strahlfokussierung und -lenkung sowie die Analyse von Strahlinstabilitäten und deren Eindämmung.","Beam dynamics focuses on understanding and controlling the behaviour of particle beams in accelerators. This includes the study of particle motion and trajectories, the development of beam focusing and steering techniques, and the analysis of beam instabilities and their mitigation.",true
/accelerator-research-subfield/cryogenic-engineering,01: in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Kältetechnik,cryogenic engineering,,,"Kältetechnik befasst sich mit Temperaturen um -160 °C und darunter, bei denen Gase eine flüssige Form annehmen und als „kryogen“ bezeichnet werden. Sie befasst sich mit der Verflüssigung von Gasen wie Stickstoff, ihrer Lagerung und ihrer Lieferung an den Ort der Verwendung. In der Beschleunigerforschung spielt die Kältetechnik eine entscheidende Rolle für den Betrieb von Beschleunigern mit supraleitenden Komponenten.","Cryogenic engineering focuses on temperatures around -160°C and below, where gases take on a liquid form and are referred to as ""cryogenic"". It involves the study of the liquefaction of gases such as nitrogen, their storage and their delivery to the point of use. In accelerator research, cryogenics plays a vital role in the operation of accelerators with superconducting components.",true
/accelerator-research-subfield/geodesy-and-alignment,01: in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Vermessung und Justierung,geodesy and alignment,,,"Vermessung und Justierung spielen eine entscheidende Rolle beim Erreichen der extremen Präzision, die für moderne Teilchenbeschleuniger erforderlich ist, und wirken sich direkt auf  Strahlqualität und  Versuchsergebnisse aus. Die Vermessung definiert die Koordinatenreferenzsysteme, zu denen alle Komponenten positioniert werden. Die relative Justierung erfordert oft eine Genauigkeit im Submillimeterbereich über große Entfernungen und jahrelange Betriebsdauer.","Geodesy and alignment play a critical role in achieving the extreme precision required for modern particle accelerators, directly affecting beam quality and experimental results. Geodesy defines the coordinate reference systems to which all components are positioned. Relative alignment often requires sub-millimetre accuracy over long distances and years of operation.",true
/accelerator-research-subfield/instrumentation-and-diagnostics,01: in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Strahldiagnose und Instrumentierung,beam diagnostics and instrumentation,,,,,true
/accelerator-research-subfield/magnet-technology,01: in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Magnetentwicklung und -optimierung,magnet development and optimization,,,,,true
/accelerator-research-subfield/operations-and-control,01: in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Beschleunigerbetrieb und -kontrolle,accelerator operation and control,,,"Der Bereich Beschleunigerbetrieb und -steuerung umfasst die Entwicklung von Steuerungssystemen für den Beschleunigerbetrieb, die Verbesserung der Zuverlässigkeit und Effizienz von Beschleunigern und die Anwendung von Techniken des maschinellen Lernens zur Optimierung von Beschleunigern.","Accelerator operations and control includes developing control systems for accelerator operations, improving accelerator reliability and efficiency, and implementing machine learning techniques for accelerator optimization.",true
/accelerator-research-subfield/simulation,01: in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Modellierung und Simulation,modeling and simulation,,,,,true
/accelerator-research-subfield/vacuum-technology,01: in preparation,,,/accelerator-research-subfield/,/accelerator-research-subfield/,Vakuumtechnik,vacuum technology,,,,,true
/accelerator-component/,01: in preparation,,,/,/,Beschleunigerkomponente,accelerator component,,,,,true
/accelerator-component/beam-monitor/,01: in preparation,,,/accelerator-component/,/accelerator-component/,Strahlmonitor,beam monitoring,,,"Strahlmonitore sind wichtige Diagnoseinstrumente, die in Teilchenbeschleunigern eingesetzt werden, um das Verständnis und die Optimierung von Teilchenstrahlen zu gewährleisten. Je nachdem, ob die Position, die Energie oder die Intensität von Teilchenstrahlen oder das Quer- oder Längsprofil von Teilchenpaketen gemessen werden soll, kommen verschiedene Arten von Instrumenten zum Einsatz.","Beam monitors are essential diagnostic instruments used in particle accelerators to ensure understanding and optimisation of particle beams. Different types of instruments are employed depending on whether the position, energy or intensity of particle beams, or the transverse or longitudinal profile of particle bunches are to be measured.",true
/accelerator-component/beam-monitor/energy-monitor,01: in preparation,,,/accelerator-component/,/accelerator-component/beam-monitor/,Strahl Energie Monitor,beam energy monitor,,,,,true
/accelerator-component/beam-monitor/halo-monitor,01: in preparation,,,/accelerator-component/,/accelerator-component/beam-monitor/,Strahl-Halogen-Monitor,beam halo monitor,,,,,true
/accelerator-component/collimator,01: in preparation,,,/accelerator-component/,/accelerator-component/,Kollimator,collimator,,,,,true
/accelerator-component/laser,01: in preparation,,,/accelerator-component/,/accelerator-component/,Laser,laser,,,,,true
/accelerator-component/magnet,01: in preparation,,,/accelerator-component/,/accelerator-component/,Magnet,magnet,,,Magnete erfüllen in Teilchenbeschleunigern wichtige Funktionen. Dipolmagnete lenken die Flugbahn geladeneer Teilcehn ab und ermöglichen ringförmige Anlagen sowie die Extraktion von Teilchen. Quadrupolmagnete dienen der Fokussierung der Teilchenstrahlen. Sextupolmagnete und weitere Korrekturmagnete dienen der Feinanpassung.,,true
/accelerator-component/magnet/dipole-magnet,01: in preparation,,,/accelerator-component/,/accelerator-component/magnet,Dipolmagnet,dipole magnet,,,Dipolmagnete erzeugen ein homogenes Magnetfeld zur Strahlablenkung. as Magnetfeld muss präzise an die Art der Teilchen und deren Geschwindigkeit angepasst werden,,true
/accelerator-component/magnet/kicker-magnet,01: in preparation,,,/accelerator-component/,/accelerator-component/magnet,Kicker-Magnet,kicker magnet,,,"Ein Kickermagnet ist ein spezialisierter Elektromagnet, der in Teilchenbeschleunigern verwendet wird, um Teilchenstrahlen schnell abzulenken oder umzuleiten. Sie erzeugen kurze, rechteckige Magnetfeldpulse mit sehr schnellen Anstiegs- und Abfallzeiten (typischerweise 10-100 Nanosekunden). Dadurch lassen sich einzelne Teilchenopakete in einen Teilchenstrahl einbringen oder aus ihm extrahieren. Kickermagnete spielen eine entscheidende Rolle bei der präzisen Kontrolle und Manipulation von Teilchenstrahlen in modernen Beschleunigeranlage",,true
/accelerator-component/magnet/quadrupole-magnet,01: in preparation,,,/accelerator-component/,/accelerator-component/magnet,Quadrupol-Magnet,quadrupole magnet,,,"Ein Quadrupolmagnet ist eine spezielle Anordnung von vier Magnetpolen, die in Teilchenbeschleunigern und Strahlführungen zur Fokussierung von Teilchenstrahlen eingesetzt wird.  Er fokussiert den Strahl in einer Richtung (z. B. horizontal) und defokussiert ihn in der dazu senkrechten. Um eine Gesamtfokussierung zu erreichen, werden mehrere Quadrupole hintereinander angeordnet (FODO-Struktur).",,true
/accelerator-component/magnet/sextupole-magnet,01: in preparation,,,/accelerator-component/,/accelerator-component/magnet,Sextupol-Magnet,sextupole magnet,,,"Ein Sextupolmagnet besteht aus sechs Magnetpolen, die abwechselnd als Nord- und Südpol um eine Mittelachse angeordnet sind. Sie werden oft in Kombination mit Quadrupolmagneten verwendet, um Fokussierungsfehler, die durch Energieunterschiede der Teilchen entstehen, auszugleichen (chromatische Abberation).",,true
/accelerator-component/power-converters,01: in preparation,,,/accelerator-component/,/accelerator-component/,Stromwandler,power converter,,,,,true
/accelerator/,01: in preparation,,,/,/,Beschleuniger,accelerator,,,,,true
/accelerator/accelerator-complex,01: in preparation,,,/accelerator/,/accelerator/,Beschleunigerkomplex,accelerator complex,,,,,true
/accelerator/cyclotron,01: in preparation,,,/accelerator/,/accelerator/,Zyklotron,cyclotron,,,,,true
/accelerator/cyclotron/sector-cyclotron,01: in preparation,,,/accelerator/,/accelerator/,Sektor-Zyklotron,sector cyclotron,,,,,true
/accelerator/electrostatic-accelerator/,01: in preparation,,,/accelerator/,/accelerator/,Elektrostatischer Beschleuniger,electrostatic accelerator,,,,,true
/accelerator/electrostatic-accelerator/cockcroft-walton-accelerator,01: in preparation,,,/accelerator/,/accelerator/electrostatic-accelerator/,Cockcroft-Walton-Beschleuniger,cockcroft-walton accelerator,,,,,true
/accelerator/electrostatic-accelerator/dynamitron-accelerator,01: in preparation,,,/accelerator/,/accelerator/electrostatic-accelerator/,Dynamitron-Beschleuniger,dynamitron accelerator,,,,,true
/accelerator/electrostatic-accelerator/pelletron-accelerator,01: in preparation,,,/accelerator/,/accelerator/electrostatic-accelerator/,Pelletron-Beschleuniger,pelletron accelerator,,,,,true
/accelerator/electrostatic-accelerator/tandem-van-de-graaff-accelerator,01: in preparation,,,/accelerator/,/accelerator/electrostatic-accelerator/,Tandem Van de Graaff Beschleuniger,tandem van de graaff accelerator,,,,,true
/accelerator/electrostatic-accelerator/van-de-graaff-accelerator,01: in preparation,,,/accelerator/,/accelerator/electrostatic-accelerator/,Van-de-Graaff-Beschleuniger,van de graaff accelerator,,,,,true
/accelerator/microtron,01: in preparation,,,/accelerator/,/accelerator/,Mikrotron,Microtron,,,"Beschleuniger für vor allem Elektronen, bei dem die Teilchen wiederholt durch dieselbe Beschleunigungskomponente (in der Regel ein Mikrowellenresonator) beschleunigt werden. Die Wiederverwendung der Beschleunigungskomponente wird durch ein konstantes Magnetfeld ermöglicht, das die Teilchen auf einer geschlossenen Bahn hält. Mit zunehmender Teilchenenergie nimmt auch die Größe der Bahn zu. Die erreichbaren Energien sind daher durch die Größe des Geräts und die Magnetstärke begrenzt.","Accelerator, primarily for electrons, in which the particles are repeatedly accelerated by the same acceleration component (usually a microwave resonator). The reuse of the acceleration component is made possible by a constant magnetic field, which keeps the particles on a closed path. As the particle energy increases, the size of the path also increases. The achievable energies are therefore limited by the size of the device and the magnetic strength.",true
/accelerator/linear-accelerator/,01: in preparation,,,/accelerator/,/accelerator/,Linearbeschleuniger,linear accelerator,Linac,linac,,,true
/accelerator/linac/high-power-proton-linac,01: in preparation,,,/accelerator/,/accelerator/linear-accelerator/,Hochleistungs-Protonen-Linac,high power proton linac,,,,,true
/accelerator/particle-decelerator,01: in preparation,,,/accelerator/,/accelerator/,Teilchenverlangsamer,particle decelerator,,,"Ein Teilchenverlangsamer ist eine Art von Teilchenbeschleuniger, der Teilchen abbremst, anstatt sie zu schneller zu machen. Der Hauptzweck von Teilchenverzögerern besteht darin, Teilchen mit sehr niedriger Energie für präzise Messungen und Studien zu erzeugen, insbesondere in der Antimaterieforschung. Dies ermöglicht physikalische Grundlagenforschung, CPT-Symmetrietests und potenzielle Anwendungen wie die Krebstherapie mit Antimaterie.","A particle decelerator is a type of particle accelerator designed to slow down particles rather than speed them up. The main purpose of particle decelerators is to produce very low-energy particles for precise measurements and studies, particularly in antimatter research. This enables fundamental physics research, CPT symmetry tests and potential applications such as antimatter-based cancer therapy.",true
/accelerator/synchrotron/storage-ring/,01: in preparation,,,/accelerator/,/accelerator/synchrotron/,Speicherring,storage ring,,,"Ein Beschleuniger, der auf dem Synchrotron-Prinzip beruht und dafür optimiert ist, einen Teilchenstrahl über einen Zeitraum von normalerweise einigen Stunden auf einer bestimmten Energie zu halten. ","An accelerator based on the synchrotron principle and optimized to maintain a particle beam at a certain energy over a period of time, usually several hours. ",true
/accelerator/synchrotron/,01: in preparation,,,/accelerator/,/accelerator/,Synchrotron,synchrotron,"Ein Beschleuniger, in dem geladene Teilchen mit Hilfe von Ablenkmagneten eine fixe, in sich geschlossene Bahn verfolgen. Da die kinetische Energie der Teilchen durch Beschleunigungskomponenten immer wieder erhöht wird, muss die Magnetfeldstärke synchron erhöht werden.","An accelerator in which charged particles follow a fixed, closed-loop path by means of bending magnets. Because the kinetic energy of the particles is repeatedly increased by accelerating components, the magnetic field strength must be synchronously increased.",,,true
/accelerator/synchrotron/booster-synchrotron,01: in preparation,,,/accelerator/,/accelerator/synchrotron/,Booster-Synchrotron,booster synchrotron,,,"Ein Synchrotron, das als Vorbeschleuniger für ein größeres Synchrotron dient. ",A synchrotron that serves as a pre-accelerator for a larger synchrotron. ,true
/facility/,01: in preparation,,,/,/,Anlagen,facility,,,,,true
/facility/accelerator-based-facility/,01: in preparation,,,/facility/,/facility/,Beschleuniger-basierte Anlagen,accelerator based facility,,,"Aktuelle oder in Konzeption befindliche Anlagen, die beschleunigerbasiert sind.",,true
/facility/accelerator-based-facility/mass-spectroscope,01: in preparation,,,/facility/,/facility/accelerator-based-facility/,Massenspektroskop,mass spectrometer,,,,,true
/facility/accelerator-based-facility/medical-facility/,01: in preparation,,,/facility/,/facility/accelerator-based-facility/,Medizinische Anlage,medical facility,,,,,true
/facility/accelerator-based-facility/medical-facility/beam-therapy/,01: in preparation,,,/facility/,/facility/accelerator-based-facility/medical-facility/,Strahlentherapeutische Einrichtung,radiation therapy facility,Strahlentherapie,,,,true
/facility/accelerator-based-facility/medical-facility/beam-therapy/electron-beam-therapy,01: in preparation,,,/facility/,/facility/accelerator-based-facility/medical-facility/beam-therapy/,Anlage für Elektronenbestrahlungstherapie,electron beam therapy facility,Elektronenbestrahlungstherapie,,,,true
/facility/accelerator-based-facility/medical-facility/beam-therapy/photon-beam-therapy,01: in preparation,,,/facility/,/facility/accelerator-based-facility/medical-facility/beam-therapy/,Anlage für Photonenbestrahlungstherapie,photon radiation therapy facility,Photonen-Bestrahlungstherapie,,,,true
/facility/accelerator-based-facility/medical-facility/beam-therapy/proton-beam-therapy,01: in preparation,,,/facility/,/facility/accelerator-based-facility/medical-facility/beam-therapy/,Anlage für Protonenbestrahlungstherapie,proton beam therapy facility,Protonenbestrahlungstherapie,,,,true
/facility/accelerator-based-facility/medical-facility/radioisotope-cyclotron,01: in preparation,,,/facility/,/facility/accelerator-based-facility/medical-facility/,Laborzyklotron zur Erzeugung von Radionukliden oder für die Protonentherapie,radioisotope cyclotron,Laborzyklotron,Radioisotope Cyclotron,,,true
/facility/accelerator-based-facility/neutron-source/,01: in preparation,,,/facility/,/facility/accelerator-based-facility/,Neutronenquelle,neutron source,,,,,true
/facility/accelerator-based-facility/neutron-source/compact-accelerator-based-neutron-source,01: in preparation,,,/facility/,/facility/accelerator-based-facility/neutron-source/,Kompakte Beschleuniger-Neutronenquelle,compact accelerator neutron source,,,,,true
/facility/accelerator-based-facility/neutron-source/spallation-neutron-source,01: in preparation,,,/facility/,/facility/accelerator-based-facility/neutron-source/,Spallationsneutronenquelle,spallation neutron source,,,,,true
/facility/accelerator-based-facility/particle-collider/,01: in preparation,,,/facility/,/facility/accelerator-based-facility/,Teilchen-Collider,particle collider,,,"In einem Teilchen-Collider werden zwei entgegengesewtzt beschleunigte Teilchenstrahlen zusammenführt, so dass die Teilchen miteinander kollidieren können. Im Vergleich zu Anlagen, bei denen ein beschleungter Teilchenstrahl auf ein ruhendes Ziel stößt, können Collider höhere Kollisionsenergien erreichen. Kollider können entweder aus Ringbeschleunigern oder Linearbeschleunigern bestehene.",,true
/facility/accelerator-based-facility/particle-collider/circular-particle-collider,01: in preparation,,,/facility/,/facility/accelerator-based-facility/particle-collider/,Ring-Collider,circular particle collider,,,,,true
/facility/accelerator-based-facility/particle-collider/circular-particle-collider/muon-collider,01: in preparation,,,/facility/,/facility/accelerator-based-facility/particle-collider/,Myon-Collider,muon collider,,,"Ein Myon-Collider ist ein ringbasierter Doppelbeschleuniger, in dem Myonen (elektronenähnliche Teilchen mit der 206-fachen Masse) zur Kollision gebracht werden. Das Konzept befindet sich derzeit in der Konzeptionsphase und hat gegenüber Elektronencollidern wesentliche Vorteile. Aufgrund der höheren Masse verlieren die Teilchen weniger Energie durch  Synchrotronstrahlung, so dass ein 10 km Myon-Collider ähnliche Energien erreichen könnte wie ein 90 km Protonen-Collider. Die größten technischen Herausforderungen sind die kurze Lebensdauer der Myonen (2,2 µs), die eine schnelle Beschleunigung erfordert. Außerdem wird eine kontinuierliche Myonenquelle benötigt. Trotz der technischen Herausforderungen zeigen diese Fortschritte, dass ein Myon-Collider eine realistische Option für zukünftige Hochenergiephysik-Experimente sein könnte.",,true
/facility/accelerator-based-facility/particle-collider/higgs-factory,01: in preparation,,,/facility/,/facility/accelerator-based-facility/particle-collider/,Higgs-Fabrik,higgs factory,,,"Als Higgs-Fabrik wird die dem LHC-nachfolgende Generation eines Teilchen-Colliders für die Hochenergiephysik bezeichnet, bei der anstelle von Protonen Elektronen und ihre Antiteilchen kollidieren.",,true
/facility/accelerator-based-facility/particle-collider/linear-particle-collider,01: in preparation,,,/facility/,/facility/accelerator-based-facility/particle-collider/,Linearcollider,linear collider,,,"Ein Linear-Collider ist eine Doppelbeschleuniger-Anlage, die aus zwei Linear-Beschleunigern besteht.",,true
/facility/accelerator-based-facility/photon-source/,01: in preparation,,,/facility/,/facility/accelerator-based-facility/,Beschleuniger-basierte Photonenquelle,photon source,,,"In beschleunigerbasierten Photonenquellen werden beschleunigte Teilchen genutzt, um hochintensive Lichtblitze für wissenschaftliche Untersuchungen zu erzeugen.  SIe sind unverzichtbare Werkzeuge für  Spitzenforschung in zahlreichen wissenschaftlichen Disziplinen und tragen wesentlich zu Innovationen in Bereichen wie Gesundheit, Energie, Umwelt und Informationstechnologie bei. Zwei Arten von Photonenquellen ergänzen sich in ihren Eigenschaften: Synchrotronquellen erzeugen kurze Lichtpulse mit hoher Gesamtintensität, Freie-Elektronen-Laser erzeugen ultrakurze, extrem intensive Laserblitze.",,true
/facility/accelerator-based-facility/photon-source/free-electron-laser/,01: in preparation,,,/facility/,/facility/accelerator-based-facility/photon-source/,Freie-Elektronen-Laser,free-electron laser,,,"Freie-Elektronen Laser (FEL) sind beschleunigerbasierte Photonenquellen, die hochintensive, extrem kurze, laserartige Strahlungspulse erzeugen. Aufgrund der Kürze der Pulse lassen sich ultraschnelle Prozesse untersuchen.",,true
/facility/accelerator-based-facility/photon-source/free-electron-laser/seeded,01: in preparation,,,/facility/,/facility/accelerator-based-facility/photon-source/,"Freie-Elektronen-Laser, gezüchtet",seeded free-electron laser,,,,,true
/facility/accelerator-based-facility/photon-source/synchrotron-light-source,01: in preparation,,,/facility/,/facility/accelerator-based-facility/photon-source/,Synchrotron-Lichtquelle,synchrotron radiation source,,,"Synchrotronstrahlungsquellen sind beschleunigerbasierte Photonenquellen, in denen Elektronen auf nahezu Lichtgeschwindigkeit beschleunigt und auf einer ringförmigen Bahn in einem Speicherring gehalten werden.  Durch Ablenkung der Elektronen in speziellen magnetischen Strukturen (Undulatoren und Wiggler) wird parallel zur Bewegungsrichtung Synchrotronstrahlung erzeugt.",,true
/facility/accelerator-based-facility/photon-source/synchrotron-light-source/3rd-generation,01: in preparation,,,/facility/,/facility/accelerator-based-facility/photon-source/,Synchrotronlichtquelle (3. Generation),synchrotron radiation source (3rd generation),,,,,true
/facility/accelerator-based-facility/photon-source/synchrotron-light-source/4th-generation,01: in preparation,,,/facility/,/facility/accelerator-based-facility/photon-source/,Synchrotronlichtquelle (4. Generation),synchrotron radiation source (4th generation),,,,,true
/facility/laser-facility,01: in preparation,,,/facility/,/facility/,Laseranlage,laser facility,,,,,true
/funding-program/,01: in preparation,,,/,/,Forschungsförderung,funding program,,,,,false
/funding-program/bmbf/,01: in preparation,,,/funding-program/,/funding-program/,Förderprogramme des Bundesministeriums für Bildung und Forschung,funding program of the german ministry of education and research,BMBF-Programme,BMBF Programmes,,,false
/funding-program/bmbf/erum/,01: in preparation,,,/funding-program/,/funding-program/bmbf/,BMBF-Rahmenprogramm zur Erforschung von Universum und Materie,bmbf framework program for research on the universe and matter (ErUM),Rahmenprogramm ErUM,Framework programme ErUM,,,false
